bs,region,theta,pi,tajimas_d,n_call
0,4fold,0.00045600472644441946,0.00047074417291366103,0.11613605260627761,6802910
1,4fold,0.0004552921826633475,0.00046761687810865113,0.0972616491216394,6839933
2,4fold,0.00046026252867708206,0.0004742128689327647,0.10890220515095189,6891867
3,4fold,0.0004536212977174234,0.000469919701541356,0.12909429766369007,6851418
4,4fold,0.000455154018093847,0.00047011993797661274,0.1181407791604845,6786885
5,4fold,0.0004651606303679089,0.00047710076514634824,0.09222794707716134,6736775
6,4fold,0.00046271439412176894,0.00047292856516182577,0.07931343770877967,6798807
7,4fold,0.0004519387524047372,0.0004674976337143911,0.12369544776522691,6844185
8,4fold,0.0004585212610806782,0.000471432772143837,0.10117497858382417,6785216
9,4fold,0.00044920845649293757,0.0004633841694432359,0.11338345717897487,6740182
10,4fold,0.00045950365497749265,0.00047483194776248323,0.11985610325205462,6758109
11,4fold,0.0004597654653952058,0.0004785497457716397,0.1467961734063649,6833086
12,4fold,0.0004553137948442885,0.0004679677769457739,0.09985554059789638,6848557
13,4fold,0.00045753444416197033,0.00047280993809219776,0.11995770060067056,6876248
14,4fold,0.0004573000472355011,0.00047396376459411403,0.13092614367556324,6816935
15,4fold,0.0004603575189168122,0.0004688495076599646,0.0662782280266197,6837807
16,4fold,0.0004586657001651753,0.00047493032802655116,0.1274103041141544,6860691
17,4fold,0.00046664130822512257,0.000484108097738626,0.13448912260114668,6781574
18,4fold,0.00045412539833472755,0.0004715649850432615,0.1379800162565595,6868840
19,4fold,0.0004507301845209286,0.000465306291167453,0.11619243941407179,6734554
20,4fold,0.0004536022858330384,0.00046645837909772207,0.10183282110945599,6757626
21,4fold,0.0004599074842862211,0.0004733069489730164,0.10468212092176539,6765697
22,4fold,0.00045767103306250216,0.0004731897310542334,0.1218309299385516,6809535
23,4fold,0.0004501291185550177,0.00046384717072116196,0.10949859310680823,6757839
24,4fold,0.00046142782262623106,0.0004726270303094065,0.08720457720033412,6757812
25,4fold,0.00046348949593794694,0.00048079626944755197,0.13416323754304815,6831854
26,4fold,0.00045972802725926127,0.000469575281296855,0.07696091732280304,6803789
27,4fold,0.00046402676699794555,0.0004801408239380585,0.12477275724608257,6864612
28,4fold,0.00045253885959910874,0.0004663548294064526,0.10969307251614253,6754551
29,4fold,0.00045919693675655144,0.00046987765708216564,0.08357146688964745,6837810
30,4fold,0.0004634461840660297,0.0004784999179072915,0.11670811463682369,6752905
31,4fold,0.00045425967039739736,0.00046170518667027074,0.05889055093260157,6812521
32,4fold,0.00045454910008940264,0.00047072264731957844,0.12784363690450223,6785538
33,4fold,0.00045679591380841194,0.0004759160373049587,0.15039191927404538,6843706
34,4fold,0.0004591812718827112,0.0004743589046912762,0.11876140451100821,6770326
35,4fold,0.00046217248766271523,0.00048277611934610437,0.1601751236268922,6721868
36,4fold,0.0004522522899153853,0.00046660102045038946,0.11399567664431397,6889228
37,4fold,0.00045797750641634,0.00047108835544208623,0.1028590508251957,6814343
38,4fold,0.0004482672096055293,0.0004619898437398079,0.10999031054834464,6832790
39,4fold,0.00046395177231556045,0.0004778456332374906,0.10759849703206785,6743235
40,4fold,0.00046113706358239486,0.00047746481215789474,0.12721895894933846,6749052
41,4fold,0.0004521710340764997,0.0004659364415811229,0.10938080696867936,6831184
42,4fold,0.000458698750256658,0.0004773232179545371,0.14588487379823503,6679739
43,4fold,0.00044909984080648916,0.00046648044264530763,0.13905156565872545,6823942
44,4fold,0.0004615124399139326,0.00047883797089964223,0.1348835167583005,6755179
45,4fold,0.0004562763504299823,0.00047269087493246795,0.1292574840784191,6806850
46,4fold,0.0004569004369283324,0.0004749131202458094,0.14164843916778447,6771269
47,4fold,0.00046234749412834105,0.00047944627026767783,0.13287797358863193,6792143
48,4fold,0.00045388751422075743,0.00046706157288746377,0.10428576860047925,6733536
49,4fold,0.00045963054605674034,0.0004773466095290542,0.13848880122686752,6821095
50,4fold,0.0004619058931532214,0.00047813820950961226,0.12626499072647093,6763817
51,4fold,0.0004567688229936396,0.0004684930804074796,0.09222411065314526,6815004
52,4fold,0.00045829540490416326,0.00047587067637188096,0.13778848123323875,6845178
53,4fold,0.0004575552478365366,0.0004660041379873542,0.06634540790674948,6747987
54,4fold,0.0004559079297314055,0.0004714169571628639,0.122225407350138,6728625
55,4fold,0.000458170733752265,0.00047316250620237847,0.11756588180264015,6799768
56,4fold,0.00046197453823151023,0.00047285906579575866,0.0846541304261629,6806446
57,4fold,0.00045313467019157764,0.0004710323311642952,0.14191310137974303,6732892
58,4fold,0.00045254936690938927,0.0004655465350750523,0.10319001424118093,6832581
59,4fold,0.0004593759248027832,0.00047946987876929393,0.1571638673221908,6773059
60,4fold,0.0004509835476201316,0.0004641886211414621,0.10520438360056299,6778321
61,4fold,0.00045847317266759245,0.0004749521165707933,0.1291429404170693,6765815
62,4fold,0.00046613459029280204,0.00048292668813467826,0.1294344969459636,6732820
63,4fold,0.0004577204722748642,0.0004758841472593087,0.14257997129604902,6771319
64,4fold,0.00045451299029960123,0.00047231024922345175,0.14068989113062205,6881855
65,4fold,0.00046065457234467877,0.0004760305128600497,0.11992848595871348,6788242
66,4fold,0.00045156749457819377,0.0004705364692850036,0.15092942943303933,6707345
67,4fold,0.00045745341845713084,0.0004730082160308114,0.12217240005167886,6807149
68,4fold,0.000452700393445453,0.00046547580160501037,0.10139534145861197,6777247
69,4fold,0.0004529930537007874,0.00046572900945280856,0.10101716752854693,6845298
70,4fold,0.00045958169463579916,0.00047297110692068523,0.104677722124722,6765827
71,4fold,0.0004564599038862788,0.0004723453759421151,0.1250412459451442,6834180
72,4fold,0.0004640549359419785,0.0004786798673975684,0.11323520709930625,6804583
73,4fold,0.00045587282567012197,0.0004719328717157417,0.12657780108364206,6754545
74,4fold,0.0004513192522216148,0.00046428795704097823,0.10324449064641623,6801313
75,4fold,0.0004570589161767081,0.00047163633155325723,0.11459474532621494,6862758
76,4fold,0.00045832539844877396,0.000478087797545592,0.15492530654320122,6861574
77,4fold,0.00045073022577426494,0.0004653187062558592,0.1162913876504299,6812580
78,4fold,0.00045357558448885126,0.0004684388738812603,0.11773867690968426,6750932
79,4fold,0.0004559156142782986,0.0004705648602432805,0.11544780666044621,6781192
80,4fold,0.0004570696786050063,0.00046921128893533587,0.09544456768444469,6929219
81,4fold,0.0004608764133324861,0.00047750726282552806,0.12965413128763018,6809170
82,4fold,0.0004568655485328331,0.0004706914361599662,0.10873255708527392,6774133
83,4fold,0.00045902120126224986,0.00047404115789660353,0.11756842709044278,6728305
84,4fold,0.00045384006551558076,0.0004703429407550421,0.13065041268507807,6754558
85,4fold,0.0004580297392474093,0.00047245968953952,0.1131945570472318,6717587
86,4fold,0.00045212020894009545,0.0004683616442928169,0.12906968510914954,6764600
87,4fold,0.0004579055162906272,0.0004695952527298088,0.0917242688773256,6786847
88,4fold,0.0004547484658616569,0.0004713447590470777,0.13112772599899916,6784921
89,4fold,0.00045903323092684885,0.0004717482390820425,0.09952391089062348,6737472
90,4fold,0.00045967064009846167,0.0004754024203308628,0.12296682586689059,6857355
91,4fold,0.0004588613233251637,0.0004663121780634437,0.05834190883773187,6811032
92,4fold,0.00045407981484017187,0.00047445881003808026,0.1612519270307267,6773188
93,4fold,0.0004554684635770948,0.0004717042644593279,0.1280768805218937,6817982
94,4fold,0.0004565250319685043,0.0004725286261387855,0.12595288776186603,6792808
95,4fold,0.00045812718482113107,0.0004714679285821977,0.1046284458786951,6808840
96,4fold,0.0004539163207809053,0.0004699796629026047,0.1271492706219514,6737833
97,4fold,0.00045680522643516604,0.0004635669305493524,0.05318392850306863,6796622
98,4fold,0.00045555516823757997,0.0004683160126561616,0.10064544520792647,6840221
99,4fold,0.00045044215744562827,0.000467959340306789,0.13972713045006122,6905487
100,4fold,0.0004525190053947109,0.00047224284177693683,0.15660557128759228,6686607
